encoderank,encodeimage,encodename,fixation
300,CFD_faces_testing/CFD-BM-247-240-N.jpg,Shawn,4.0499237459178
11,CFD_faces_testing/CFD-AF-210-050-N.jpg,Hope,3.82567843523578
275,CFD_faces_testing/CFD-BM-222-173-N.jpg,Jared,2.65896780434348
286,CFD_faces_testing/CFD-BM-233-285-N.jpg,Bryce,3.21883982690403
357,CFD_faces_testing/CFD-LF-250-169-N.jpg,Olivia,3.88972383428744
78,CFD_faces_testing/CFD-AM-221-184-N.jpg,Joel,3.66592287417636
426,CFD_faces_testing/CFD-WF-013-003-N.jpg,Kelsey,2.38273718611479
460,CFD_faces_testing/CFD-WF-208-068-N.jpg,Alexus,2.50759499496684
322,CFD_faces_testing/CFD-LF-215-157-N.jpg,Kathy,2.00299825435026
95,CFD_faces_testing/CFD-AM-239-147-N.jpg,Marc,3.25448741359137
514,CFD_faces_testing/CFD-WM-013-001-N.jpg,Lukas,3.46545703662933
166,CFD_faces_testing/CFD-BF-208-266-N.jpg,Wendy,2.47960652945741
103,CFD_faces_testing/CFD-AM-247-165-N.jpg,Zion,4.00051573167128
134,CFD_faces_testing/CFD-BF-027-002-N.jpg,Kelly,2.05376110715377
470,CFD_faces_testing/CFD-WF-218-087-N.jpg,Hallie,2.35902606955773
38,CFD_faces_testing/CFD-AF-237-223-N.jpg,Lexi,4.85637592663398
176,CFD_faces_testing/CFD-BF-218-207-N.jpg,Renee,4.92756191279658
394,CFD_faces_testing/CFD-LM-232-204-N.jpg,Jerry,2.09274361600522
384,CFD_faces_testing/CFD-LM-222-239-N.jpg,Elias,3.48164553126031
341,CFD_faces_testing/CFD-LF-234-139-N.jpg,Robyn,4.58816638441649
583,CFD_faces_testing/CFD-WM-243-107-N.jpg,Gerry,2.72862849887933
410,CFD_faces_testing/CFD-LM-249-001-N.jpg,Roman,4.5028104911564
416,CFD_faces_testing/CFD-WF-002-004-N.jpg,Brooke,4.4407735772086
548,CFD_faces_testing/CFD-WM-207-048-N.jpg,Ariel,3.88691931222689
