retrieverank,retrieveimage,retrievename,retrievecode,fixation
579,CFD_faces_testing/CFD-WM-239-128-N.jpg,Vince,3,2.0067145956825
316,CFD_faces_testing/CFD-LF-209-072-N.jpg,Darby,3,3.1391718191808
322,CFD_faces_testing/CFD-LF-215-157-N.jpg,Alexus,2,4.71321708947731
11,CFD_faces_testing/CFD-AF-210-050-N.jpg,Hope,1,4.04105499519405
195,CFD_faces_testing/CFD-BF-237-172-N.jpg,Abbey,3,3.13646939217851
583,CFD_faces_testing/CFD-WM-243-107-N.jpg,Gerry,1,3.895864132107
548,CFD_faces_testing/CFD-WM-207-048-N.jpg,Lukas,2,2.72980856741177
286,CFD_faces_testing/CFD-BM-233-285-N.jpg,Bryce,1,3.71423921481169
176,CFD_faces_testing/CFD-BF-218-207-N.jpg,Renee,1,4.94518632132927
275,CFD_faces_testing/CFD-BM-222-173-N.jpg,Jared,1,4.54904605671655
376,CFD_faces_testing/CFD-LM-214-165-N.jpg,Andre,3,2.85033255706718
78,CFD_faces_testing/CFD-AM-221-184-N.jpg,Joel,1,4.04737299335065
384,CFD_faces_testing/CFD-LM-222-239-N.jpg,Marc,2,3.074373592946
38,CFD_faces_testing/CFD-AF-237-223-N.jpg,Olivia,2,4.96078030988555
515,CFD_faces_testing/CFD-WM-014-002-N.jpg,Javon,3,2.25195888726857
61,CFD_faces_testing/CFD-AM-204-122-N.jpg,Jose,3,2.7509176590851
341,CFD_faces_testing/CFD-LF-234-139-N.jpg,Robyn,1,4.43403984594502
103,CFD_faces_testing/CFD-AM-247-165-N.jpg,Jerry,2,2.25326931163426
357,CFD_faces_testing/CFD-LF-250-169-N.jpg,Lexi,2,3.59376189122557
426,CFD_faces_testing/CFD-WF-013-003-N.jpg,Kelsey,1,4.40186893744385
460,CFD_faces_testing/CFD-WF-208-068-N.jpg,Hallie,2,4.21646972576319
95,CFD_faces_testing/CFD-AM-239-147-N.jpg,Elias,2,2.42498894090738
317,CFD_faces_testing/CFD-LF-210-220-N.jpg,Paula,3,3.31368277371507
410,CFD_faces_testing/CFD-LM-249-001-N.jpg,Roman,1,3.05114111724041
394,CFD_faces_testing/CFD-LM-232-204-N.jpg,Zion,2,3.43549249159307
416,CFD_faces_testing/CFD-WF-002-004-N.jpg,Kathy,2,3.76221020037228
300,CFD_faces_testing/CFD-BM-247-240-N.jpg,Shawn,1,2.43741708565856
514,CFD_faces_testing/CFD-WM-013-001-N.jpg,Ariel,2,4.71599182173309
74,CFD_faces_testing/CFD-AM-217-085-N.jpg,Cole,3,3.92058274499667
422,CFD_faces_testing/CFD-WF-009-001-N.jpg,Autumn,3,2.48881871432201
21,CFD_faces_testing/CFD-AF-220-107-N.jpg,Ruby,3,3.69773177300497
354,CFD_faces_testing/CFD-LF-247-051-N.jpg,Hannah,3,4.79484841093158
134,CFD_faces_testing/CFD-BF-027-002-N.jpg,Kelly,1,4.34930565105389
166,CFD_faces_testing/CFD-BF-208-266-N.jpg,Wendy,1,4.05706141093697
148,CFD_faces_testing/CFD-BF-041-001-N.jpg,Kylee,3,3.39865785494823
470,CFD_faces_testing/CFD-WF-218-087-N.jpg,Brooke,2,2.78095428699959
