retrieverank,retrieveimage,retrievename,retrievecode,fixation
455,CFD_faces_testing/CFD-WF-203-229-N.jpg,Traci,2,3.19778994284429
486,CFD_faces_testing/CFD-WF-234-086-N.jpg,Raquel,3,4.0929487053737
352,CFD_faces_testing/CFD-LF-245-166-N.jpg,Skye,2,2.61102931138704
571,CFD_faces_testing/CFD-WM-231-112-N.jpg,Garry,3,3.99897946546853
179,CFD_faces_testing/CFD-BF-221-223-N.jpg,Marie,1,3.32919826822482
91,CFD_faces_testing/CFD-AM-235-241-N.jpg,Cade,1,3.29988579672709
438,CFD_faces_testing/CFD-WF-025-019-N.jpg,Alexia,3,2.52571832718379
319,CFD_faces_testing/CFD-LF-212-066-N.jpg,Alison,2,2.57960693528117
98,CFD_faces_testing/CFD-AM-242-176-N.jpg,Ethan,2,3.84926399494028
54,CFD_faces_testing/CFD-AF-253-130-N.jpg,Tera,1,2.80703182362016
186,CFD_faces_testing/CFD-BF-228-212-N.jpg,India,3,3.67903379484772
64,CFD_faces_testing/CFD-AM-207-108-N.jpg,Adam,3,4.83435197526292
267,CFD_faces_testing/CFD-BM-213-134-N.jpg,Brady,2,4.14341490724684
474,CFD_faces_testing/CFD-WF-222-092-N.jpg,Brenna,1,4.03765896618202
324,CFD_faces_testing/CFD-LF-217-082-N.jpg,Joyce,3,4.87814174392126
584,CFD_faces_testing/CFD-WM-244-003-N.jpg,Grady,1,4.32600293587696
299,CFD_faces_testing/CFD-BM-246-192-N.jpg,Devon,3,3.82318089896632
162,CFD_faces_testing/CFD-BF-204-189-N.jpg,Ciara,1,4.84400707800005
168,CFD_faces_testing/CFD-BF-210-130-N.jpg,Kiana,2,2.1789248707561
161,CFD_faces_testing/CFD-BF-203-184-N.jpg,Josie,2,2.80613703572838
279,CFD_faces_testing/CFD-BM-226-276-N.jpg,Bryan,1,4.96004013194085
85,CFD_faces_testing/CFD-AM-229-224-N.jpg,Zane,2,4.31662019628208
230,CFD_faces_testing/CFD-BM-021-021-N.jpg,Neil,3,3.42606289987338
413,CFD_faces_testing/CFD-LM-252-076-N.jpg,Lamar,2,4.04269866666186
431,CFD_faces_testing/CFD-WF-018-017-N.jpg,Alicia,1,3.25080426479427
574,CFD_faces_testing/CFD-WM-234-118-N.jpg,Elton,1,3.14044760867954
391,CFD_faces_testing/CFD-LM-229-187-N.jpg,Drake,3,2.63981116722563
222,CFD_faces_testing/CFD-BM-012-018-N.jpg,Ezra,1,3.14881396740243
36,CFD_faces_testing/CFD-AF-235-170-N.jpg,Kali,3,2.08900325453031
9,CFD_faces_testing/CFD-AF-208-003-N.jpg,Jade,3,3.41696319525222
107,CFD_faces_testing/CFD-AM-251-124-N.jpg,Abel,3,3.00011806053136
386,CFD_faces_testing/CFD-LM-224-162-N.jpg,Dante,1,4.92753441232997
40,CFD_faces_testing/CFD-AF-239-171-N.jpg,Tamra,2,3.66633061585927
488,CFD_faces_testing/CFD-WF-236-107-N.jpg,Cassie,1,4.53891091335072
371,CFD_faces_testing/CFD-LM-209-111-N.jpg,Alan,2,3.22419048320573
553,CFD_faces_testing/CFD-WM-212-097-N.jpg,Aiden,2,3.38605449132168
