encoderank,encodeimage,encodename,fixation
329,CFD_faces_testing/CFD-LF-222-147-N.jpg,Ashly,2.72127066191372
84,CFD_faces_testing/CFD-AM-228-214-N.jpg,Alec,4.05472548388744
63,CFD_faces_testing/CFD-AM-206-086-N.jpg,Eric,4.51776084517879
374,CFD_faces_testing/CFD-LM-212-143-N.jpg,Casey,4.9104338986941
461,CFD_faces_testing/CFD-WF-209-052-N.jpg,Sandra,2.6455088384121
526,CFD_faces_testing/CFD-WM-025-002-N.jpg,Elian,4.28103003925471
519,CFD_faces_testing/CFD-WM-018-002-N.jpg,Billy,3.7523085495741
395,CFD_faces_testing/CFD-LM-233-171-N.jpg,Lance,3.20885473271372
513,CFD_faces_testing/CFD-WM-012-001-N.jpg,Jamal,3.5301210132727
88,CFD_faces_testing/CFD-AM-232-251-N.jpg,Drew,3.48693265725514
429,CFD_faces_testing/CFD-WF-016-015-N.jpg,Ariana,3.95410502759514
255,CFD_faces_testing/CFD-BM-201-077-N.jpg,Shad,4.23111843386883
381,CFD_faces_testing/CFD-LM-219-295-N.jpg,Trent,2.9058604073817
181,CFD_faces_testing/CFD-BF-223-250-N.jpg,Talia,2.26883580560637
32,CFD_faces_testing/CFD-AF-231-357-N.jpg,Gina,4.47789644745273
246,CFD_faces_testing/CFD-BM-038-001-N.jpg,Greg,3.16876102676508
303,CFD_faces_testing/CFD-BM-250-170-N.jpg,Corey,4.32591455980652
177,CFD_faces_testing/CFD-BF-219-137-N.jpg,Anahi,2.53810728585193
451,CFD_faces_testing/CFD-WF-039-025-N.jpg,Aubrey,2.32808362915336
313,CFD_faces_testing/CFD-LF-206-078-N.jpg,Ciera,4.71547501427491
353,CFD_faces_testing/CFD-LF-246-129-N.jpg,Velma,4.6290530117675
203,CFD_faces_testing/CFD-BF-245-178-N.jpg,Tania,4.99937769333425
26,CFD_faces_testing/CFD-AF-225-141-N.jpg,Anne,4.59276405817125
39,CFD_faces_testing/CFD-AF-238-185-N.jpg,Tyra,2.11063256685162
